ssn,name,age,gender,income,health_rating,nChildren,married,purchased
816-24-0655,Emily Rogers,43,1,97619.39,17,2,False,True
814-53-2752,Kelli Jacobs,55,0,122088.99,58,0,True,True
759-86-5706,Gregory Pennington,80,1,139808.87,88,0,False,True
245-78-1646,William Byrd,74,0,177064.98,31,3,True,True
083-91-0363,Justin Thomas,92,1,141450.46,52,1,True,True
157-22-8208,Gina Garcia,81,0,186848.38,11,2,False,True
885-42-8708,Alyssa Munoz,54,1,176637.83,12,1,False,True
160-94-9879,Amber Stevens,97,0,140589.93,47,2,False,True
368-15-9392,Angela Lawrence,85,1,164932.83,7,1,False,True
862-41-1086,Melissa Hernandez,30,1,84015.39,28,0,True,False
401-79-9782,Matthew King,52,1,173607.95,26,2,False,True
848-58-8050,Jennifer Holt,82,1,138771.88,90,3,True,True
492-26-1445,Alyssa Robbins,56,0,86017.96,25,2,False,True
647-89-7459,Nicole Harris,47,0,164482.45,70,3,True,True
759-77-4977,Emily Roberts,57,1,189131.24,97,0,False,True
361-42-0187,Tyler Medina,99,0,121448.01,57,2,True,True
757-82-5057,Nancy Perry,37,1,97000.31,72,2,True,False
181-83-3866,Kim Parker,28,1,130342.59,70,2,True,False
152-77-2656,Charlotte Morgan,92,0,160076.69,53,3,False,True
081-39-0374,Victoria Perry,48,1,132677.2,23,1,False,True
004-52-9676,Joseph Archer,25,0,158110.9,62,3,False,False
118-51-3387,April Smith,68,1,147421.56,57,0,True,True
800-21-3217,Jessica Evans,93,1,104979.87,89,3,True,True
272-18-5777,Jose Jones,28,0,99932.45,17,2,False,True
519-39-4729,Randall King,94,0,152428.33,58,3,False,True
077-88-0252,Andrew Russell,80,0,170825.01,83,1,True,True
126-48-1444,Jon Simpson,50,0,86917.48,63,0,True,False
282-12-0690,James Sanders,42,1,102715.03,31,3,True,True
216-56-3868,Jenna Davila,43,1,197012.34,37,2,True,True
416-14-0533,Alice Turner,99,0,162882.85,20,2,True,True
238-51-0183,Jennifer Stone,90,0,107568.09,33,3,False,True
149-64-2180,Justin Richards,77,1,190362.71,21,1,False,True
691-99-9063,Richard Faulkner,72,0,149653.19,13,2,False,True
416-69-8029,Felicia Brock,64,0,125318.68,11,2,True,True
467-37-5025,Crystal Mendez,80,1,84983.8,73,2,True,False
691-77-0893,Travis Lang,88,0,127434.15,51,1,True,True
208-18-0406,Gary Wu,64,0,198295.81,82,1,True,True
362-12-0087,Peter Silva,97,1,177345.12,43,0,True,True
349-89-7827,Laura Owens,95,1,95496.4,97,3,True,False
546-45-5575,Jacob Pena,81,1,170934.29,91,3,False,True
404-71-7304,Joseph King,34,0,183392.41,10,0,False,True
476-99-2545,Harry Clark,66,1,136461.56,71,0,True,True
556-25-8096,David Mccoy,97,1,98159.43,31,1,False,True
740-22-5213,Matthew Rose,25,1,158710.13,89,3,False,False
322-25-2103,Matthew Hall,96,1,102062.34,8,2,True,True
443-20-8641,Randy Martin,43,1,160395.82,44,1,True,True
450-84-8973,Kyle Lozano,86,0,158681.24,37,0,True,True
529-17-3832,Steven Eaton,34,1,113938.59,34,1,True,True
518-66-5048,Mr. David Williams,30,0,194568.92,55,3,False,False
667-23-0889,Peter Shields,46,1,156920.23,38,2,False,True
476-79-6908,Carlos Robbins,100,0,190810.77,29,0,False,True
700-43-3687,Daniel Ellison,39,0,176185.57,5,2,True,True
565-33-2019,Laura Kelly,48,0,147623.7,56,3,False,True
540-90-1248,Kathy Jefferson,24,0,128325.25,97,2,False,False
650-95-2496,Terry Crosby,25,0,195223.77,78,0,True,False
380-04-0147,Troy Roth,45,1,195899.35,8,0,False,True
122-40-4838,Michael Mahoney,69,1,114541.78,3,1,True,True
726-60-0184,Kelsey Clarke,68,0,97544.01,92,1,True,False
404-61-3652,Susan Chavez,40,0,196021.1,37,0,False,True
012-01-9560,Xavier Walters,51,1,131250.26,34,1,False,True
104-11-8988,Tara Oconnor,26,0,170400.65,90,3,False,False
346-71-9606,Pamela Boyd,38,0,84805.22,46,0,False,False
082-63-8027,Crystal Miller,81,1,89230.03,77,3,False,False
122-26-1923,Ronald Moreno,64,0,193634.79,61,2,True,True
397-66-3096,Kimberly Bauer,94,0,98760.66,73,2,False,True
426-77-2139,Christopher Hall,66,1,119320.11,27,1,True,True
327-08-2703,Sandra Nash,60,0,129542.68,6,3,False,True
519-14-3914,Donald Krueger,48,0,188035.01,44,1,True,True
161-68-3346,Melanie Harper,24,1,87573.35,1,1,False,True
311-19-4691,Jamie Tate,61,1,139344.4,5,0,False,True
340-52-3017,Alex Lindsey,45,0,189785.06,9,2,True,True
508-65-4728,Michele Garcia,26,0,152120.08,15,2,True,True
016-51-7463,Catherine Vazquez,83,0,115454.68,39,0,False,True
435-48-7081,Tony Smith,57,0,168960.88,21,1,True,True
795-69-9340,Nathan Griffin,36,1,91887.63,36,1,True,False
221-06-3088,Joy Gonzales,72,1,127913.18,2,3,True,True
777-98-7913,Stephen Salinas,54,1,127848.15,81,2,True,False
886-48-6919,Victoria Hampton,75,0,112958.29,7,0,True,True
747-65-1042,Brittany Morgan MD,29,0,94323.38,9,2,True,True
749-14-8441,Jill Moon,36,0,116133.74,17,3,True,True
522-02-6113,Derek Knox,38,1,164238.92,47,2,True,True
130-45-7532,Sarah King,49,1,168080.45,42,0,False,True
829-88-7894,Eric Webb,43,0,178842.94,40,1,True,True
852-58-2430,Denise Baker,100,0,113685.08,78,2,True,True
283-44-7464,Steven Pacheco,69,1,156312.57,66,0,True,True
872-79-1034,Kevin Giles,77,0,93274.69,53,3,False,True
275-06-6653,Nathan Diaz,20,1,80861.07,47,2,True,False
370-83-8778,Francisco Adams,59,0,187789.73,86,0,False,True
263-60-2991,Stephen Mathews,79,1,130719.94,42,3,True,True
157-20-7565,Carl Mendoza,72,0,180117.33,79,2,True,True
147-46-3342,Audrey Mercado,99,1,94946.13,79,2,False,True
252-22-5132,Christine Graves,60,1,104151.72,33,2,False,True
440-19-2523,Cynthia Sanchez,28,0,118359.2,89,1,False,False
406-59-7808,Renee Hall MD,76,0,158947.45,66,3,False,True
410-42-9356,Crystal Novak,38,0,138747.12,43,0,True,True
081-38-1354,Robert Perez,44,0,100907.3,60,3,True,False
883-91-2983,Dr. Rita Roman,51,0,146355.24,30,3,False,True
681-14-8259,Adam Hawkins,38,0,169295.04,46,2,False,True
634-10-7095,Calvin Fletcher,54,1,164849.9,50,2,False,True
649-76-4506,Andrea Davis,25,0,96783.74,63,2,False,False
634-98-6124,Brittany Mcconnell,43,0,146024.5,17,0,False,True
722-78-3671,Shawn Garcia,74,0,111089.63,89,1,True,False
814-31-5011,Scott Evans,63,0,83801.64,9,3,True,True
123-97-1486,Kristi Flores,25,0,129696.87,96,3,False,False
140-80-2143,Mrs. Danielle Bennett,61,0,171172.78,4,1,True,True
832-70-6604,Jill Khan,62,0,140026.84,43,3,False,True
674-63-8188,Robert Long,100,0,187421.29,84,0,True,True
153-74-4302,Brian Livingston,79,1,164406.72,32,3,True,True
273-61-4308,James Roy,89,1,142223.53,38,1,True,True
395-79-9594,Kristie Jacobs,80,0,193702.06,100,3,False,True
505-83-0052,Garrett Randall,54,1,132890.76,39,1,False,True
582-69-0009,Amanda Woods MD,67,0,170001.73,24,1,True,True
537-91-7690,Teresa Johnson,92,1,98111.09,84,1,True,False
846-22-2232,Caroline Powers,57,0,128181.21,62,0,False,True
258-28-0223,Matthew Carr,42,1,169814.46,65,2,False,True
217-13-0014,Ashley Ball,86,1,169105.08,77,3,True,True
139-43-0727,Paul Santos,56,1,174683.8,17,2,False,True
454-39-4664,Joe Rubio,45,0,129474.59,4,3,True,True
306-64-4000,Ronnie West,20,1,97590.67,71,1,False,False
690-23-3042,Brittney Haynes,99,1,147246.04,31,3,False,True
456-85-9929,Robert Sanders,82,0,165766.38,47,1,True,True
344-34-9414,Claudia Barrett,40,0,103317.18,99,3,True,False
839-51-0617,Denise Robinson,22,1,147808.63,67,2,False,False
409-78-9777,Christopher Hogan,23,1,99543.8,34,0,False,False
594-25-4884,Karen Noble,95,0,97432.86,7,2,False,True
196-77-1106,Joseph Pugh,52,1,128112.53,17,3,False,True
633-06-3131,Morgan Castaneda,77,1,187294.48,26,2,False,True
166-53-1381,Crystal Miles,76,0,173418.56,46,3,True,True
140-36-0919,Michelle Moon,70,1,84245.99,81,1,False,False
071-18-1047,Thomas Goodwin,78,0,96202.0,83,3,True,False
107-98-9657,Shannon Lopez,81,0,102763.58,63,1,True,True
343-45-4208,Lee Ryan,43,1,87919.43,15,2,False,True
752-62-2268,Courtney Miller,85,0,196549.96,33,0,True,True
710-44-1598,Katrina Parker,80,0,139470.75,46,0,True,True
536-04-0307,Aaron Morales,40,1,152225.71,20,0,True,True
851-30-7467,Matthew Franklin,55,0,115227.38,98,0,False,False
007-91-9939,Kristie Flores,89,0,136230.28,41,0,False,True
118-70-3177,Sarah Martin,65,0,194654.31,6,0,False,True
391-93-2986,George Williamson,42,1,188257.2,1,3,True,True
807-49-5883,Henry Jenkins,62,1,90114.08,47,3,False,True
388-45-2577,Rachael Francis,22,1,111919.72,85,0,True,False
488-55-4801,Yvonne Hardy,29,1,185802.12,19,2,True,True
670-08-4158,Ryan White,76,0,118368.17,81,3,True,True
792-75-0672,Donald Jenkins,40,1,99205.56,45,3,True,False
116-23-5876,Kevin James,31,0,136682.71,37,2,True,True
571-63-9144,Edward Bradley,62,1,94478.46,85,1,False,False
591-26-4402,Craig Smith,44,1,149841.63,80,0,True,False
383-31-7905,Thomas Arias,76,1,124368.78,94,1,False,False
420-78-5633,John Baker,88,0,177943.95,4,2,True,True
218-37-5507,Brittney Zamora,32,1,126653.16,21,3,True,True
448-90-5931,Angela Navarro,36,1,158364.94,38,2,True,True
532-83-0997,Traci Wright,64,0,126782.39,68,1,False,True
651-77-9532,Nicole Nunez,48,0,155950.95,94,0,False,False
067-29-0397,Brandon Wright,31,1,98488.31,53,0,True,False
636-51-6366,Kathleen Carter,31,0,179322.11,45,0,False,True
085-23-5404,Jason Johnson,83,1,192762.44,40,1,True,True
658-23-1696,Tina Garcia,82,0,97863.36,11,1,True,True
057-88-6167,Andrea Carter,44,1,99878.81,45,0,True,False
467-84-0722,Todd Freeman,28,0,128063.16,13,2,True,True
143-61-1588,Andrew Bishop,46,1,144950.37,60,3,False,True
378-47-4676,Philip Kim,89,1,132621.75,21,1,True,True
329-11-8767,Phillip Kennedy,62,1,117822.12,26,3,True,True
693-83-9470,Briana Andrews,66,1,178547.02,48,1,False,True
410-96-0477,Lynn Taylor,92,0,108190.38,25,0,True,True
892-90-7513,Harry Taylor,69,1,183188.38,83,1,False,True
889-23-9981,Michael Reese,47,1,157362.51,4,0,True,True
062-88-6462,Amy Owens,47,0,162646.07,65,3,True,True
853-73-1683,Caleb Nash,78,0,82266.51,12,1,True,True
632-22-1779,Kaitlin Townsend,41,0,195658.36,73,3,False,True
422-36-3516,Derek Potter,72,0,172911.26,83,1,False,True
593-68-2159,Amy Cowan,76,1,175782.32,12,1,True,True
481-86-8897,Kent Moses,49,0,84354.7,43,3,True,False
050-54-3337,Tina Dixon,45,1,109876.35,67,3,False,False
797-81-6796,Katie Johns,60,1,185049.09,80,2,False,True
491-10-3846,James Smith,99,0,141616.86,68,2,False,True
595-47-7979,April Anderson,96,1,81314.07,40,3,False,True
482-88-3193,Debbie Moore,48,0,110522.61,7,3,False,True
285-78-3328,Michael Gonzales,77,0,172991.6,43,0,True,True
772-80-3960,Debbie Smith,55,1,136939.91,34,0,True,True
471-75-8901,Bradley Murphy,86,1,153201.93,62,1,False,True
860-51-5609,James Gould,36,0,154088.66,81,3,True,False
136-34-9020,Abigail Watson,39,0,178267.03,84,3,True,False
235-39-1079,Jonathan Smith,88,0,177684.16,95,0,False,True
454-65-1890,Marissa Armstrong,30,0,124266.57,42,1,False,False
169-36-8678,Joshua Walker,20,0,141513.32,13,2,False,True
835-85-1757,Kristi Dominguez,61,0,148461.64,11,0,True,True
151-36-8334,Adrian Lee,49,1,125438.65,58,1,True,False
278-82-9967,Tanya Thompson,42,1,112985.73,7,0,False,True
130-96-5227,Michael Wong,36,1,105272.41,64,1,False,False
072-17-1753,Jaime Gonzalez,59,0,105311.02,90,1,True,False
832-22-5278,Matthew Gray,53,0,94228.15,70,3,False,False
865-64-3758,Dwayne Davis,85,1,144825.25,50,0,False,True
895-11-5508,John Davis,83,1,98559.15,67,2,False,True
664-52-5537,Jill Garner,75,1,149620.72,20,0,False,True
851-44-0308,Katherine Watts,90,1,86305.31,65,1,False,True
029-91-3081,Derek Gonzalez,99,0,146486.16,67,2,False,True
375-61-4751,Catherine Smith,25,0,159117.63,25,1,True,True
200-25-5604,Heather Holt,25,1,197235.66,15,0,False,True
785-19-0120,Shannon Cook,53,1,89364.84,33,1,True,True
434-43-3497,Nicole Miller,21,1,179531.55,1,1,True,True
261-84-5639,Timothy Levine,44,1,68063.99,27,2,True,True
564-72-4471,James Lopez,26,0,51319.52,34,0,True,False
551-93-0386,Sandra Logan,36,1,64217.92,8,2,False,True
205-55-0941,William Moore,92,1,73774.95,20,3,True,True
018-44-8332,Danielle Boyd,67,0,49390.88,47,3,False,True
440-70-2319,Robert Jones,94,1,72487.15,13,1,False,True
195-97-9305,Adam Henry,35,0,56104.49,73,0,True,False
101-80-9828,Julie Jackson,75,1,73542.82,70,2,False,True
363-22-3800,Sara Russell,40,0,64713.31,67,2,False,False
712-27-9802,Cindy Figueroa,50,0,57740.54,4,0,True,True
705-72-6944,Michael Gardner,61,0,55066.21,86,2,False,False
359-45-7344,Ann Fletcher,63,0,50281.86,75,1,False,False
